#Unicode	Char	CID	GlyphName
5627	嘧	12797	uni5627-CL
5630	嘰	12814	uni5630-CL
564F	噏	12867	uni564F-MN
5658	噘	12882	uni5658-JP
5659	噙	12883	uni5659-JP
565D	噝	12889	uni565D-CL
5666	噦	12909	uni5666-JP
566F	噯	12924	uni566F-JP
567B	噻	12948	uni567B-CL
567C	噼	12949	uni567C-CL
568E	嚎	12982	uni568E-JP
5692	嚒	12987	uni5692-CL
5693	嚓	12989	uni5693-CL
56A0	嚠	13013	uni56A0-JP
56AE	嚮	13039	uni56AE-MN
56AF	嚯	13040	uni56AF-JP
56BC	嚼	13065	uni56BCuE0102-JP
56BF	嚿	13071	uni56BF-CL
56BF	嚿	13072	uni56BF-V-CL
56D3	囓	13110	uni56D3uE0102-JP
56D4	囔	13112	uni56D4-JP
56DE	回	13126	uni56DE-JP
56E2	团	13133	uni56E2-JP
5708	圈	13193	uni5708uE0102-JP
5728	在	13244	uni5728-JP
574B	坋	13290	uni574B-JP
575B	坛	13315	uni575B-CN
575F	坟	13320	uni575F-CL
5776	坶	13352	uni5776-JP
5792	垒	13390	uni5792-JP
5794	垔	13394	uni5794uE0102-JP
579B	垛	13403	uni579B-JP
57A6	垦	13420	uni57A6-JP
57B5	垵	13437	uni57B5-CL
57C2	埂	13456	uni57C2-CL
57CF	埏	13474	uni57CF-MN
5844	塄	13663	uni5844-CL
5844	塄	13670	uni5844-MN
584D	塍	13683	uni584DuE0102-JP
5865	塥	13724	uni5865-JP
5871	塱	13742	uni5871-CL
5871	塱	13749	uni5871-MN
5892	墒	13803	uni5892-JP
5893	墓	13805	uni5893-JP
58D3	壓	13910	uni58D3-JP
58D3	壓	13911	uni58D3uE0102-JP
590A	夊	14001	uni590AuE0102-JP
590D	复	14009	uni590D-MJ-JP
590F	夏	14014	uni590F-JP
595A	奚	14134	uni595A-MN
595D	奝	14141	uni595DuE0102-JP
5969	奩	14162	uni5969uE0102-JP
5981	妁	14217	uni5981uE0102-JP
598F	妏	14248	uni598F-CL
598F	妏	14249	uni598F-JP
5998	妘	14272	uni5998-JP
599B	妛	14281	uni599BuE0102-JP
599E	妞	14286	uni599E-JP
59A1	妡	14293	uni59A1-JP
59A6	妦	14307	uni59A6-JP
59A6	妦	14308	uni59A6-KX
59C5	姅	14383	uni59C5-JP
59C5	姅	14384	uni59C5-MN
59CE	姎	14407	uni59CE-JP
59D7	姗	14429	uni59D7-CL
59D8	姘	14430	uni59D8-JP
59D8	姘	14431	uni59D8uE0101-JP
59E3	姣	14457	uni59E3uE0102-JP
59F3	姳	14501	uni59FE-JP
59F5	姵	14506	uni59F5-JP
59F8	姸	14516	uni59F8uE0101-MO
59F9	姹	14518	uni59F9-JP
5A08	娈	14552	uni5A08-CN
5A17	娗	14587	uni5A17-MN
5A1E	娞	14606	uni5A1E-MN
5A31	娱	14652	uni5A31-CN
5A33	娳	14654	uni5A33-CL
5A38	娸	14666	uni5A38-JP
5A4A	婊	14712	uni5A4A-JP
5A4D	婍	14718	uni5A4D-JP
5A57	婗	14739	uni5A57-JP
5A67	婧	14779	uni5A67uE0102-JP
5A6C	婬	14792	uni5A6CuE0102-JP
5A81	媁	14835	uni5A81-JP
5A83	媃	14839	uni5A83-JP
5A90	媐	14867	uni5A90-MN
5A97	媗	14887	uni5A97-JP
5AAE	媮	14946	uni5AAE-MN
5AAF	媯	14949	uni5AAF-MN
5AB5	媵	14966	uni5AB5uE0102-JP
5AB5	媵	14967	uni5AB5-MN
5ABA	媺	14977	uni5ABA-CL
5AC3	嫃	15007	uni5AC3-JP
5AC3	嫃	15008	uni5AC3uE0101-JP
5ACB	嫋	15027	uni5ACBuE0102-JP
5AD5	嫕	15047	uni5AD5-JP
5AD8	嫘	15056	uni5AD8-JP
5AF2	嫲	15124	uni5AF2-CL
5B03	嬃	15165	uni5B03-JP
5B11	嬑	15196	uni5B11-JP
5B23	嬣	15237	uni5B23-JP
5B24	嬤	15239	uni5B24-JP
5B28	嬨	15250	uni5B28uE0101-JP
5B2B	嬫	15257	uni5B2B-JP
5B37	嬷	15286	uni5B37-CL
5B46	孆	15318	uni5B46-JP
5B4D	孍	15334	uni5B4D-JP
5B53	孓	15343	uni5B53-CL
5B53	孓	15346	uni5B53-JP
5B6A	孪	15377	uni5B6A-CN
5B6C	孬	15381	uni5B6C-JP
5B75	孵	15397	uni5B75uE0102-JP
5BAB	宫	15504	uni5BAB-CN
5BAC	宬	15506	uni5BACuE0102-JP
5BB1	宱	15516	uni5BB1-JP
5BB2	宲	15519	uni5BB2uE0102-JP
5BC0	寀	15549	uni5BC0uE0102-JP
5BCF	寏	15576	uni5BCFuE0102-JP
5BD5	寕	15589	uni5BD5-CL
5BD7	寗	15594	uni5BD7uE0102-JP
5BD8	寘	15596	uni5BD8-MN
5BDC	寜	15605	uni5BDC-JP
5BDD	寝	15607	uni5BDD-MN
5BE5	寥	15627	uni5B35uE0102-JP
5BF3	寳	15661	uni5BF3-KX
5C10	尐	15710	uni5C10-JP
5C15	尕	15718	uni5C15-JP
5C18	尘	15720	uni5C18-JP
5C1D	尝	15729	uni5C1D-CN
5C25	尥	15741	uni5C25-CL
5C25	尥	15742	uni5C25-MN
5C32	尲	15766	uni5C32-MN
5C34	尴	15770	uni5C34-CN
5C42	层	15792	uni5C42-CN
5C44	屄	15794	uni5C44uE0100-JP
5C44	屄	15795	uni5C44-JP
5C46	屆	15799	uni5C46uE0102-JP
5C49	屉	15803	uni5C49-CL
5C65	履	15852	uni5C65-JP
5C88	岈	15921	uni5C88uE0102-JP
5C8D	岍	15933	uni5C8D-JP
5C8D	岍	15934	uni5C8DuE0101-JP
5C99	岙	15957	uni5C99-CL
5C9C	岜	15960	uni5C9C-CL
5CC1	峁	16043	uni5CC1-CL
5CE5	峥	16110	uni5CE5-MN
5CED	峭	16127	uni5CEDuE0102-JP
5D1E	崞	16236	uni5D1E-JP
5D21	崡	16243	uni5D21-JP
5D22	崢	16245	uni5D22uE0102-JP
5D2C	崬	16270	uni5D2C-CL
5D2E	崮	16272	uni5D2E-CL
5D3E	崾	16304	uni5D3E-CL
5D5B	嵛	16367	uni5D5B-CL
5D5B	嵛	16369	uni5D5B-MN
5D6B	嵫	16400	uni5D6B-CL
5D74	嵴	16422	uni5D74-JP
5D75	嵵	16424	uni5D75-CL
5D79	嵹	16431	uni5D79-CL
5DD4	巔	16634	uni5DD4-MN
5DE9	巩	16674	uni5DE9uE0102-JP
5DF0	巰	16682	uni5DF0-CL
5E10	帐	16724	uni5E10-CN
5E55	幕	16826	uni5E55-JP
5E86	庆	16913	uni5E86-CN
5E92	庒	16934	uni5E92-JP
5EC4	廄	17028	uni5EC4-MN
5ECD	廍	17047	uni5ECD-CL
5ED0	廐	17054	uni5ED0uE0105-JP
5ED6	廖	17071	uni5ED6uE0102-JP
5EEA	廪	17116	uni5EEA-JP
5EF4	廴	17138	uni5EF4uE0102-JP
5EF6	延	17141	uni5EF6uE0104-JP
5EF8	廸	17147	uni5EF8uE0102-JP
5EF9	廹	17149	uni5EF9uE0102-JP
5EFC	廼	17155	uni5EFCuE0102-JP
5EFD	廽	17157	uni5EFDuE0102-JP
5F05	弅	17169	uni5F05-JP
5F12	弒	17191	uni5F12-JP
5F1A	弚	17209	uni5F1A-CN
5F1A	弚	17208	uni5F1A-JP
5F20	张	17221	uni5F20-CN
5F25	弥	17232	uni5F25uE0103-JP
5F33	弳	17263	uni5FEE-CL
5F46	彆	17301	uni5F46-MN
5F53	当	17327	uni5F53-JP
5F5E	彞	17351	uni5F5E-JP
5F5E	彞	17352	uni5F5EuE0101-JP
5F63	彣	17359	uni5F63-MN
5F65	彥	17363	uni5F65-VAR-JP
5FAE	微	17484	uni5FAEuE0105-JP
5FB7	德	17499	uni5FB7uE0101-JP
5FDE	忞	17560	uni5FDEuE0102-JP
5FDF	忟	17563	uni5FDFuE0100-JP
6037	怷	17696	uni6037-JP
603B	总	17701	uni603B-CN
6041	恁	17707	uni6041-JP
6043	恃	17710	uni6043-JP
607F	恿	17804	uni607F-JP
605D	恝	17752	uni605DuE0102-JP
60E0	惠	17972	uni60E0-JP
60E6	惦	17979	uni60E6-JP
60EA	惪	17984	uni60EA-SCS-MN
60F3	想	17995	uni60F3-JP
60F9	惹	18005	uni60F9-JP
6100	愀	18017	uni6100-JP
6106	愆	18027	uni6106-JP
610E	愎	18044	uni610E-JP
611A	愚	18067	uni611A-JP
6123	愣	18083	uni6123-CL
6123	愣	18084	uni6123-JP
6142	慂	18139	uni6142-JP
6145	慅	18144	uni6145-CL
6155	慕	18178	uni6155-JP
616A	慪	18221	uni616A-JP
618B	憋	18289	uni618B-MN
61B7	憷	18368	uni61B7-JP
61CB	懋	18409	uni61CB-JP
61D4	懔	18424	uni61D4-JP
61DC	懜	18436	uni61DC-CL
6224	戤	18563	uni6224-JP
6233	戳	18590	uni6233-MN
6237	户	18595	uni6237-JP
623B	戻	18602	uni623BuE0103-JP
6247	扇	18627	uni6247-MN
6249	扉	18633	uni6249uE0106-JP
6269	扩	18683	uni6269-CN
6286	抆	18728	uni6286uE0100-JP
62A4	护	18766	uni62A4-CN
62C4	拄	18809	uni62C4-VAR-CL
62FB	拻	18887	uni62FB-JP
62FC	拼	18888	uni62FCuE0102-JP
630E	挎	18916	uni630E-JP
6311	挑	18921	uni6311-JP
6349	捉	19005	uni6349-JP
634B	捋	19009	uni634BuE0102-JP
6372	捲	19065	uni6372-MN
638C	掌	19109	uni638C-JP
6399	掙	19131	uni6399-MN
63B0	掰	19175	uni63B0-CL
63C4	揄	19201	uni63C4uE0102-JP
63CD	揍	19214	uni63CD-CL
63CD	揍	19216	uni63CD-JP
63DE	揞	19245	uni63DE-JP
63F4	援	19287	uni63F4-JP
640B	搋	19321	uni640B-JP
640C	搌	19323	uni640C-JP
6414	搔	19336	uni6414-CL
641B	搛	19348	uni641B-CL
641C	搜	19351	uni641CuE0102-JP
641C	搜	19352	uni641CuE0103-JP
6423	搣	19365	uni6423-JP
6426	搦	19372	uni6426uE0102-JP
6427	搧	19373	uni6427-JP
6427	搧	19374	uni6427-MN
6432	搲	19400	uni6432-JP
643D	搽	19419	uni643D-CL
6441	摁	19429	uni6441-JP
6447	摇	19435	uni6447-CM
6454	摔	19457	uni6454-MN
6461	摡	19484	uni6461-CL
6461	摡	19485	uni6461-MN
6471	摱	19511	uni6471-CL
647A	摺	19527	uni647A-JP90-JP
647E	摾	19535	uni647E-CL
6487	撇	19547	uni6487-MN
6490	撐	19562	uni6490uE0102-JP
6491	撑	19564	uni6491-JP
6497	撗	19574	uni6497-JP
64A2	撢	19594	uni64A2-JP
64CE	擎	19674	uni64CE-JP
64E2	擢	19717	uni64E2-MN
64FE	擾	19782	uni64FE-JP
6525	攥	19870	uni6525-JP
6578	數	19996	uni6578uE0104-JP
6588	斈	20023	uni6588uE0102-JP
6590	斐	20036	uni6590uE0103-JP
65C3	旃	20124	uni65C3-VAR-MN
65E2	既	20189	uni65E2-MN
65E4	旤	20194	uni65E4-JP
65F3	旳	20210	uni65F3-JP
65FB	旻	20222	uni65FBuE0102-JP
65FC	旼	20224	uni65FC-MN
661E	昞	20281	uni661EuE0104-JP
6627	昧	20296	uni6627-JP
6636	昶	20317	uni6636uE0102-JP
6660	晠	20374	uni6660-MN
6696	暖	20454	uni6696-JP
66A8	暨	20483	uni66A8-MN
66AE	暮	20494	uni66AE-JP
66B4	暴	20506	uni66B4-JP
66BC	暼	20519	uni66BCuE0102-JP
66C1	曁	20528	uni66C1uE0105-JP
66CC	曌	20548	uni66CCuE0102-JP
66CF	曏	20554	uni66CFuE0102-JP
66CF	曏	20552	uni66CE-CL
66DC	曜	20572	uni66DC-MN
671B	望	20690	uni671BuE0107-JP
671B	望	20691	uni671BuE010A-JP
6740	杀	20751	uni6740-CN
6742	杂	20754	uni6742-CN
6748	杈	20762	uni6748uE0102-JP
6756	杖	20777	uni6756-JP
6757	杗	20778	uni6757-JP
6757	杗	20779	uni6757uE0101-JP
6792	枒	20867	uni6792uE0102-JP
67B0	枰	20905	uni67B0uE0102-JP
67DC	柜	20973	uni67DCuE0102-JP
6843	桃	21130	uni6843-JP
684A	桊	21145	uni68A4-MN
6853	桓	21158	uni6853-JP
6883	梃	21228	uni6883uE0102-JP
6886	梆	21235	uni6886uE0102-JP
6886	梆	21236	uni6886-MN
68CC	棌	21352	uni68CCuE0102-JP
6909	椉	21474	uni6909-CL
691B	椛	21509	uni691BuE0103-JP
6932	椲	21536	uni6932-JP
6954	楔	21595	uni6954uE0102-JP
6957	楗	21600	uni6957uE0102-JP
695F	楟	21614	uni695F-JP
6971	楱	21653	uni6971-CL
6998	榘	21720	uni6998uE0102-JP
69A3	榣	21738	uni69A3-JP
69E4	槤	21860	uni69E4-JP
69FA	槺	21908	uni69FA-JP
6A0C	樌	21940	uni6A0C-JP
6A3A	樺	22020	uni6A3A-JP
6A5E	橞	22088	uni6A5E-JP
6A65	橥	22101	uni6A65-JP
6AA9	檩	22220	uni6AA9-CL
6AC2	櫂	22269	uni6AC2-MN
6AE5	櫥	22330	uni6AE5-CL
6AE7	櫧	22333	uni6AE7-MN
6AEB	櫫	22340	uni6AEB-JP
6AF8	櫸	22366	uni6AF8-CL
6B0A	權	22403	uni6B0AuE0102-JP
6B49	歉	22522	uni6B49uE0102-JP
6B59	歙	22554	uni6B59uE0102-JP
6B5C	歜	22559	uni6B5C-JP
6B72	歲	22599	uni6B72uE0101-JP
6B76	歶	22604	uni6B76-JP
6BAC	殬	22684	uni6BAC-JP
6BD5	毕	22770	uni6BD5-CN
6BD9	毙	22780	uni6BD9-CN
6BDB	毛	22784	uni6BDB-JP
6BEA	毪	22804	uni6BEA-CL
6BF9	毹	22825	uni6BF9-MN
6BFD	毽	22832	uni6BFD-CL
6BFD	毽	22833	uni6BFD-JP
6C05	氅	22850	uni6C05-MN
6C16	氖	22882	uni6C16-JP
6C21	氡	22899	uni6C21-CL
6C26	氦	22906	uni6C26-CL
6C2F	氯	22920	uni6C2F-JP
6C30	氰	22923	uni6C30-JP
6C46	汆	22948	uni6C46-CL
6C47	汇	22950	uni6C47-CN
6C4A	汊	22954	uni6C4A-MN
6C5B	汛	22980	uni6C5BuE0102-JP
6C61	污	22989	uni6C61-JP
6C74	汴	23016	uni6C74uE0102-JP
6C76	汶	23020	uni6C76uE0102-JP
6C88	沈	23047	uni6C88-JP
6C8F	沏	23061	uni6C8F-JP
6C91	沑	23063	uni6C91-JP
6CFB	泻	23219	uni6CFB-CN
6D1A	洚	23255	uni6D1AuE0102-JP
6D28	洨	23275	uni6D28-MN
6D2F	洯	23283	uni6D2FuE0102-JP
6D30	洰	23285	uni6D30-MN
6D8A	涊	23410	uni6D8A-JP
6D8E	涎	23416	uni6D8EuE0101-JP
6D8E	涎	23417	uni6D8EuE0102-JP
6DE8	淨	23565	uni6DE8uE0102-JP
6E1D	渝	23653	uni6E1DuE0102-JP
6E2B	渫	23678	uni6E2B-JP
6E4B	湋	23734	uni6E4BuE0102-JP
6E54	湔	23752	uni6E54-MN
6E67	湧	23785	uni6E67uE0102-JP
7089	炉	24772	uni7089uE0102-JP
7172	煲	25224	uni7172-CL
717D	煽	25247	uni717D-MN
753B	画	26970	uni753BuE0102-JP
7600	瘀	27308	uni7600uE0102-JP
761F	瘟	27375	uni761FuE0102-JP
7654	癔	27491	uni7654-JP
766E	癮	27547	uni766E-MN
773E	眾	27862	uni773EuE0103-JP
773E	眾	27864	uni773E-SCS-MN
7787	瞇	27975	uni7787-JP
77BB	瞻	28066	uni77BB-JP
78B3	碳	28445	uni78B3-CL
7955	祕	28737	uni7955uE0102-JP
795A	祚	28747	uni795AuE0102-JP
795B	祛	28749	uni795BuE0102-JP
797F	祿	28814	uni797FuE0102-JP
7A69	穩	29241	uni7A69uE0102-JP
7A69	穩	29242	uni7A69-MN
7ADE	竞	29523	uni7ADE-CN
7CB5	粵	30503	uni7CB5-CL
7D00	紀	30674	uni7D00uE0102-JP
7D00	紀	30678	uni7D00uE0104-JP
7D05	紅	30684	uni7D05uE0102-JP
7D25	紥	30754	uni7D25-JP
7D27	紧	30757	uni7D27-CN
7D8F	綏	30961	uni7D8FuE0102-JP
7D90	綐	30963	uni7D90-JP
7DB3	綳	31040	uni7DBEuE0102-JP
7DB5	綵	31044	uni7DB5uE0102-JP
7DC5	緅	31080	uni7DC5-MN
7E23	縣	31276	uni7E23uE0102-JP
7E34	縴	31313	uni7E34-JP
7E3D	總	31336	uni7E3DuE0102-JP
7E6D	繭	31441	uni7E6DuE0103-JP
7EA2	红	31558	uni7EA2-JP
7EDF	统	31619	uni7EDF-CN
7EE7	继	31627	uni7EE7-CN
7F5A	罚	31784	uni7F5A-CN
7FBF	羿	31966	uni7FBF-MN
7FCE	翎	32001	uni7FCE-MN
7FE4	翤	32049	uni7FE4-MN
7FE6	翦	32054	uni7FE6uE0102-JP
8070	聰	32340	uni8070uE0103-JP
808F	肏	32405	uni808F-JP
810E	脎	32668	uni810E-CL
81EE	臮	33153	uni81EE-JP
81EE	臮	33155	uni81EEuE0101-JP
8782	螂	36220	uni8782uE0104-JP
8836	蠶	36571	uni8836-CL
8869	衩	36655	uni8869-MN
8921	褡	37047	uni8921-JP
8A18	記	37552	uni8A18uE0102-JP
8A68	詨	37721	uni8A68-CL
8A95	誕	37813	uni8A95uE0104-JP
8EA5	躥	39605	uni8EA5-JP
8EB2	躲	39634	uni8EB2-JP
8EBA	躺	39650	uni8EBA-CL
8F0B	輋	39769	uni8F0B-JP
8F44	轄	39876	uni8F44-CL
8FB6	辶	40054	uni8FB6uE0104-JP
8FB9	边	40061	uni8FB9-CN
8FBA	辺	40064	uni8FBAuE0102-JP
8FC7	过	40098	uni8FC7-CN
8FC8	迈	40100	uni8FC8-CL
8FD9	这	40144	uni8FD9-CN
8FDD	违	40150	uni8FDD-CN
8FDE	连	40151	uni8FDE-CN
8FDF	迟	40152	uni8FDF-CN
8FE9	迩	40180	uni8FE9uE0103-JP
9001	送	40248	uni9001-MN
901E	逞	40327	uni901EuE0104-JP
903E	逾	40415	uni903E-MN
9042	遂	40425	uni9042-MN
9062	遢	40515	uni9062uE0102-JP
9062	遢	40517	uni9062-MN
90BB	邻	40712	uni90BB-CN
9109	鄉	40803	uni9109-SCS-CL
9109	鄉	40831	uni9109-JP
914C	酌	40969	uni914CuE0103-JP
9278	鉸	41505	uni9278uE0102-JP
93A6	鎦	42020	uni93A6uE0102-JP
957F	长	42694	uni957F-CN
9594	閔	42722	uni9594uE0101-JP
96DE	雞	43255	uni96DE-MN
9704	霄	43337	uni9704uE0102-JP
97FF	響	43851	uni97FF-MN
98EA	飪	44233	uni98EAuE0102-JP
9912	餒	44330	uni9912uE0102-JP
9912	餒	44331	uni9912uE0103-JP
9938	餸	44436	uni9938-CL
9938	餸	44437	uni9938-MN
9E1F	鸟	46612	uni9E1F-CN
9FBB	龻	47439	uni9FBB-CL
25081	𥂁	13729	u25081-CL
26936	𦤶	33168	u26936-CL
270FD	𧃽	35603	u270FD-CL
282E2	𨋢	61148	u282E2-CL
2F821	剆	11234	u2F821-CL
2F823	剷	11321	u2F823-CM
