#汉字	Unicode
憚	619A
淡	6DE1
誕	8A95
彈	5F48
蛋	86CB
當	7576
擋	64CB
黨	9EE8
蕩	8569
檔	6A94
刀	5200
搗	6417
蹈	8E48
倒	5012
島	5CF6
禱	79B1
導	5C0E
到	5230
稻	7A3B
悼	60BC
道	9053
盗	76D7
德	5FB7
得	5F97
的	7684
蹬	8E6C
燈	71C8
登	767B
等	7B49
瞪	77AA
凳	51F3
鄧	9127
堤	5824
低	4F4E
滴	6EF4
迪	8FEA
敵	6575
笛	7B1B
狄	72C4
滌	6ECC
翟	7FDF
嫡	5AE1
抵	62B5
底	5E95
地	5730
蒂	8482
第	7B2C
帝	5E1D
弟	5F1F
遞	905E
締	7DE0
顛	985B
掂	6382
滇	6EC7
碘	7898
點	9EDE
典	5178
靛	975B
墊	588A
電	96FB
佃	4F43
甸	7538
店	5E97
惦	60E6
奠	5960
澱	6FB1
殿	6BBF
碉	7889
叼	53FC
雕	96D5
凋	51CB
刁	5201
掉	6389
吊	540A
釣	91E3
調	8ABF
跌	8DCC
爹	7239
碟	789F
蝶	8776
迭	8FED
諜	8ADC
叠	53E0
丁	4E01
盯	76EF
叮	53EE
釘	91D8
頂	9802
鼎	9F0E
錠	9320
定	5B9A
訂	8A02
丢	4E22
東	6771
冬	51AC
董	8463
懂	61C2
動	52D5
棟	68DF
侗	4F97
恫	606B
凍	51CD
洞	6D1E
兜	515C
抖	6296
鬥	9B25
陡	9661
豆	8C46
逗	9017
痘	75D8
都	90FD
督	7763
毒	6BD2
犢	72A2
獨	7368
讀	8B80
堵	5835
睹	7779
賭	8CED
杜	675C
鍍	934D
肚	809A
度	5EA6
渡	6E21
妒	5992
端	7AEF
短	77ED
鍛	935B
段	6BB5
斷	65B7
緞	7DDE
堆	5806
兑	5151
隊	968A
對	5C0D
墩	58A9
噸	5678
蹲	8E72
敦	6566
頓	9813
囤	56E4
鈍	920D
盾	76FE
遁	9041
掇	6387
哆	54C6
多	591A
奪	596A
垛	579B
躲	8EB2
朵	6735
跺	8DFA
舵	8235
剁	5241
惰	60F0
墮	58AE
蛾	86FE
峨	5CE8
鵝	9D5D
俄	4FC4
額	984D
訛	8A1B
娥	5A25
惡	60E1
厄	5384
扼	627C
遏	904F
鄂	9102
餓	9913
恩	6069
而	800C
兒	5152
耳	8033
爾	723E
餌	990C
洱	6D31
二	4E8C
貳	8CB3
發	767C
罰	7F70
筏	7B4F
伐	4F10
乏	4E4F
閥	95A5
法	6CD5
珐	73D0
藩	85E9
帆	5E06
番	756A
翻	7FFB
樊	6A0A
礬	792C
釩	91E9
繁	7E41
凡	51E1
煩	7169
反	53CD
返	8FD4
範	7BC4
販	8CA9
犯	72AF
飯	98EF
泛	6CDB
坊	574A
芳	82B3
方	65B9
肪	80AA
房	623F
防	9632
妨	59A8
仿	4EFF
訪	8A2A
紡	7D21
放	653E
菲	83F2
非	975E
啡	5561
飛	98DB
肥	80A5
匪	532A
誹	8AB9
吠	5420
肺	80BA
廢	5EE2
沸	6CB8
費	8CBB
芬	82AC
酚	915A
吩	5429
氛	6C1B
分	5206
紛	7D1B
墳	58B3
焚	711A
汾	6C7E
粉	7C89
奮	596E
份	4EFD
忿	5FFF
憤	61A4
糞	7CDE
豐	8C50
封	5C01
楓	6953
蜂	8702
峰	5CF0
鋒	92D2
風	98A8
瘋	760B
烽	70FD
逢	9022
馮	99AE
縫	7E2B
諷	8AF7
奉	5949
鳳	9CF3
佛	4F5B
否	5426
夫	592B
敷	6577
膚	819A
孵	5B75
扶	6276
拂	62C2
輻	8F3B
幅	5E45
氟	6C1F
符	7B26
伏	4F0F
俘	4FD8
服	670D
浮	6D6E
涪	6DAA
福	798F
袱	88B1
弗	5F17
甫	752B
撫	64AB
輔	8F14
俯	4FEF
釜	91DC
斧	65A7
脯	812F
腑	8151
府	5E9C
腐	8150
赴	8D74
副	526F
覆	8986
賦	8CE6
復	5FA9
傅	5085
付	4ED8
阜	961C
父	7236
腹	8179
負	8CA0
富	5BCC
訃	8A03
附	9644
婦	5A66
縛	7E1B
咐	5490
噶	5676
嘎	560E
該	8A72
改	6539
概	6982
鈣	9223
蓋	84CB
溉	6E89
幹	5E79
甘	7518
杆	6746
柑	67D1
竿	7AFF
肝	809D
趕	8D95
感	611F
秆	79C6
敢	6562
贛	8D1B
岡	5CA1
剛	525B
鋼	92FC
缸	7F38
肛	809B
綱	7DB1
崗	5D17
港	6E2F
杠	6760
篙	7BD9
皋	768B
高	9AD8
膏	818F
羔	7F94
糕	7CD5
搞	641E
鎬	93AC
稿	7A3F
告	544A
哥	54E5
歌	6B4C
擱	64F1
戈	6208
鴿	9D3F
胳	80F3
疙	7599
割	5272
革	9769
葛	845B
格	683C
蛤	86E4
閣	95A3
隔	9694
鉻	927B
個	500B
各	5404
給	7D66
根	6839
跟	8DDF
耕	8015
更	66F4
庚	5E9A
羹	7FB9
埂	57C2
耿	803F
梗	6897
工	5DE5
攻	653B
功	529F
恭	606D
龔	9F94
供	4F9B
躬	8EAC
公	516C
宫	5BAB
弓	5F13
鞏	978F
汞	6C5E
拱	62F1
貢	8CA2
共	5171
鈎	920E
勾	52FE
溝	6E9D
