#汉字	Unicode
漂	6F02
瓢	74E2
票	7968
撇	6487
瞥	77A5
拼	62FC
頻	983B
貧	8CA7
品	54C1
聘	8058
乒	4E52
坪	576A
蘋	860B
萍	840D
平	5E73
憑	6191
瓶	74F6
評	8A55
屏	5C4F
坡	5761
潑	6F51
頗	9817
婆	5A46
破	7834
魄	9B44
迫	8FEB
粕	7C95
剖	5256
撲	64B2
鋪	92EA
僕	50D5
莆	8386
葡	8461
菩	83E9
蒲	84B2
埔	57D4
樸	6A38
圃	5703
普	666E
浦	6D66
譜	8B5C
曝	66DD
瀑	7011
期	671F
欺	6B3A
栖	6816
戚	621A
妻	59BB
七	4E03
凄	51C4
漆	6F06
柒	67D2
沏	6C8F
其	5176
棋	68CB
奇	5947
歧	6B67
畦	7566
崎	5D0E
臍	81CD
齊	9F4A
旗	65D7
祈	7948
祁	7941
騎	9A0E
起	8D77
豈	8C48
乞	4E5E
企	4F01
啓	5553
契	5951
砌	780C
器	5668
氣	6C23
迄	8FC4
弃	5F03
汽	6C7D
泣	6CE3
訖	8A16
掐	6390
恰	6070
洽	6D3D
牽	727D
扦	6266
釺	91FA
鉛	925B
千	5343
遷	9077
簽	7C3D
仟	4EDF
謙	8B19
乾	4E7E
黔	9ED4
錢	9322
鉗	9257
前	524D
潜	6F5C
遣	9063
淺	6DFA
譴	8B74
塹	5879
嵌	5D4C
欠	6B20
歉	6B49
槍	69CD
嗆	55C6
腔	8154
羌	7F8C
墻	58BB
薔	8594
强	5F3A
搶	6436
橇	6A47
鍬	936C
敲	6572
悄	6084
橋	6A4B
瞧	77A7
喬	55AC
僑	50D1
巧	5DE7
鞘	9798
撬	64AC
翹	7FF9
峭	5CED
俏	4FCF
竅	7AC5
切	5207
茄	8304
且	4E14
怯	602F
竊	7ACA
欽	6B3D
侵	4FB5
親	89AA
秦	79E6
琴	7434
勤	52E4
芹	82B9
擒	64D2
禽	79BD
寢	5BE2
沁	6C81
青	9752
輕	8F15
氫	6C2B
傾	50BE
卿	537F
清	6E05
擎	64CE
晴	6674
氰	6C30
情	60C5
頃	9803
請	8ACB
慶	6176
瓊	74CA
窮	7AAE
秋	79CB
丘	4E18
邱	90B1
球	7403
求	6C42
囚	56DA
酋	914B
泅	6CC5
趨	8DA8
區	5340
蛆	86C6
曲	66F2
軀	8EC0
屈	5C48
驅	9A45
渠	6E20
取	53D6
娶	5A36
齲	9F72
趣	8DA3
去	53BB
圈	5708
顴	9874
權	6B0A
醛	919B
泉	6CC9
全	5168
痊	75CA
拳	62F3
犬	72AC
券	5238
勸	52F8
缺	7F3A
炔	7094
瘸	7638
却	5374
鵲	9D72
榷	69B7
確	78BA
雀	96C0
裙	88D9
群	7FA4
然	7136
燃	71C3
冉	5189
染	67D3
瓤	74E4
壤	58E4
攘	6518
嚷	56B7
讓	8B93
饒	9952
擾	64FE
繞	7E5E
惹	60F9
熱	71B1
壬	58EC
仁	4EC1
人	4EBA
忍	5FCD
韌	97CC
任	4EFB
認	8A8D
刃	5203
妊	598A
紉	7D09
扔	6254
仍	4ECD
日	65E5
戎	620E
茸	8338
蓉	84C9
榮	69AE
融	878D
熔	7194
溶	6EB6
容	5BB9
絨	7D68
冗	5197
揉	63C9
柔	67D4
肉	8089
茹	8339
蠕	8815
儒	5112
孺	5B7A
如	5982
辱	8FB1
乳	4E73
汝	6C5D
入	5165
褥	8925
軟	8EDF
阮	962E
蕊	854A
瑞	745E
鋭	92ED
閏	958F
潤	6F64
若	82E5
弱	5F31
撒	6492
灑	7051
薩	85A9
腮	816E
鰓	9C13
塞	585E
賽	8CFD
三	4E09
叁	53C1
傘	5098
散	6563
桑	6851
嗓	55D3
喪	55AA
搔	6414
騷	9A37
掃	6383
嫂	5AC2
瑟	745F
色	8272
澀	6F80
森	68EE
僧	50E7
莎	838E
砂	7802
殺	6BBA
刹	5239
沙	6C99
紗	7D17
傻	50BB
啥	5565
煞	715E
篩	7BE9
曬	66EC
珊	73CA
苫	82EB
杉	6749
山	5C71
删	5220
煽	717D
衫	886B
閃	9583
陝	965D
擅	64C5
贍	8D0D
膳	81B3
善	5584
汕	6C55
扇	6247
繕	7E55
墒	5892
傷	50B7
商	5546
賞	8CDE
晌	664C
上	4E0A
尚	5C1A
裳	88F3
梢	68A2
捎	634E
稍	7A0D
燒	71D2
芍	828D
勺	52FA
韶	97F6
少	5C11
哨	54E8
邵	90B5
紹	7D39
奢	5962
賒	8CD2
蛇	86C7
舌	820C
捨	6368
赦	8D66
攝	651D
射	5C04
懾	61FE
涉	6D89
社	793E
設	8A2D
砷	7837
申	7533
呻	547B
伸	4F38
身	8EAB
深	6DF1
娠	5A20
紳	7D33
神	795E
沈	6C88
審	5BE9
嬸	5B38
甚	751A
腎	814E
慎	614E
滲	6EF2
聲	8072
生	751F
甥	7525
牲	7272
升	5347
繩	7E69
省	7701
盛	76DB
剩	5269
勝	52DD
聖	8056
師	5E2B
失	5931
獅	7345
施	65BD
濕	6FD5
詩	8A69
尸	5C38
虱	8671
十	5341
石	77F3
拾	62FE
時	6642
什	4EC0
食	98DF
蝕	8755
實	5BE6
識	8B58
史	53F2
矢	77E2
使	4F7F
屎	5C4E
駛	99DB
始	59CB
式	5F0F
示	793A
士	58EB
世	4E16
柿	67FF
事	4E8B
拭	62ED
誓	8A93
逝	901D
勢	52E2
是	662F
嗜	55DC
噬	566C
適	9069
仕	4ED5
侍	4F8D
釋	91CB
飾	98FE
氏	6C0F
市	5E02
恃	6043
室	5BA4
視	8996
試	8A66
收	6536
手	624B
首	9996
守	5B88
壽	58FD
授	6388
售	552E
受	53D7
瘦	7626
獸	7378
蔬	852C
樞	6A1E
梳	68B3
殊	6B8A
抒	6292
輸	8F38
叔	53D4
舒	8212
淑	6DD1
疏	758F
書	66F8
贖	8D16
孰	5B70
熟	719F
薯	85AF
暑	6691
曙	66D9
署	7F72
蜀	8700
黍	9ECD
鼠	9F20
屬	5C6C
術	8853
述	8FF0
樹	6A39
束	675F
戍	620D
竪	7AEA
墅	5885
庶	5EB6
數	6578
漱	6F31
恕	6055
刷	5237
耍	800D
摔	6454
衰	8870
甩	7529
帥	5E25
栓	6813
拴	62F4
霜	971C
雙	96D9
爽	723D
誰	8AB0
水	6C34
睡	7761
税	7A0E
吮	542E
瞬	77AC
順	9806
舜	821C
説	8AAC
碩	78A9
朔	6714
爍	720D
斯	65AF
撕	6495
嘶	5636
思	601D
私	79C1
司	53F8
絲	7D72
死	6B7B
肆	8086
寺	5BFA
嗣	55E3
四	56DB
伺	4F3A
似	4F3C
飼	98FC
巳	5DF3
鬆	9B06
聳	8073
慫	616B
頌	980C
送	9001
宋	5B8B
訟	8A1F
誦	8AA6
搜	641C
艘	8258
擻	64FB
嗽	55FD
蘇	8607
酥	9165
俗	4FD7
素	7D20
速	901F
粟	7C9F
僳	50F3
塑	5851
溯	6EAF
宿	5BBF
訴	8A34
肅	8085
酸	9178
蒜	849C
算	7B97
雖	96D6
隋	968B
隨	96A8
綏	7D8F
髓	9AD3
碎	788E
歲	6B72
穗	7A57
遂	9042
隧	96A7
祟	795F
孫	5B6B
損	640D
笋	7B0B
蓑	84D1
梭	68AD
唆	5506
縮	7E2E
瑣	7463
索	7D22
鎖	9396
所	6240
塌	584C
他	4ED6
它	5B83
她	5979
塔	5854
獺	737A
撻	64BB
蹋	8E4B
踏	8E0F
胎	80CE
苔	82D4
抬	62AC
臺	81FA
泰	6CF0
酞	915E
太	592A
態	614B
汰	6C70
坍	574D
攤	6524
貪	8CAA
癱	7671
灘	7058
壇	58C7
檀	6A80
痰	75F0
潭	6F6D
譚	8B5A
談	8AC7
坦	5766
毯	6BEF
袒	8892
碳	78B3
探	63A2
嘆	5606
炭	70AD
湯	6E6F
塘	5858
搪	642A
堂	5802
棠	68E0
膛	819B
唐	5510
糖	7CD6
倘	5018
躺	8EBA
淌	6DCC
趟	8D9F
燙	71D9
掏	638F
濤	6FE4
滔	6ED4
縧	7E27
萄	8404
桃	6843
逃	9003
淘	6DD8
陶	9676
討	8A0E
套	5957
特	7279
藤	85E4
騰	9A30
疼	75BC
謄	8B04
梯	68AF
剔	5254
踢	8E22
銻	92BB
提	63D0
題	984C
蹄	8E44
啼	557C
體	9AD4
替	66FF
嚏	568F
惕	60D5
涕	6D95
剃	5243
屉	5C49
天	5929
添	6DFB
填	586B
田	7530
甜	751C
恬	606C
舔	8214
腆	8146
挑	6311
條	689D
迢	8FE2
眺	773A
跳	8DF3
貼	8CBC
鐵	9435
帖	5E16
廳	5EF3
聽	807D
烴	70F4
汀	6C40
廷	5EF7
停	505C
亭	4EAD
庭	5EAD
挺	633A
艇	8247
通	901A
桐	6850
酮	916E
瞳	77B3
同	540C
銅	9285
彤	5F64
童	7AE5
桶	6876
捅	6345
筒	7B52
統	7D71
痛	75DB
偷	5077
投	6295
頭	982D
透	900F
凸	51F8
秃	79C3
突	7A81
圖	5716
徒	5F92
途	9014
塗	5857
屠	5C60
土	571F
吐	5410
兔	5154
湍	6E4D
團	5718
推	63A8
頽	983D
腿	817F
蜕	8715
褪	892A
退	9000
吞	541E
屯	5C6F
臀	81C0
拖	62D6
托	6258
脱	8131
鴕	9D15
陀	9640
馱	99B1
駝	99DD
橢	6A62
妥	59A5
拓	62D3
唾	553E
挖	6316
哇	54C7
蛙	86D9
窪	7AAA
娃	5A03
瓦	74E6
襪	896A
歪	6B6A
外	5916
豌	8C4C
彎	5F4E
灣	7063
玩	73A9
頑	9811
丸	4E38
烷	70F7
完	5B8C
碗	7897
挽	633D
晚	665A
皖	7696
惋	60CB
宛	5B9B
婉	5A49
萬	842C
腕	8155
汪	6C6A
王	738B
亡	4EA1
枉	6789
網	7DB2
往	5F80
旺	65FA
望	671B
忘	5FD8
妄	5984
威	5A01
巍	5DCD
微	5FAE
危	5371
韋	97CB
違	9055
桅	6845
圍	570D
唯	552F
惟	60DF
爲	7232
濰	6FF0
維	7DAD
葦	8466
萎	840E
委	59D4
偉	5049
僞	50DE
尾	5C3E
緯	7DEF
未	672A
蔚	851A
味	5473
畏	754F
胃	80C3
喂	5582
魏	9B4F
位	4F4D
渭	6E2D
謂	8B02
尉	5C09
慰	6170
衛	885B
瘟	761F
温	6E29
蚊	868A
文	6587
聞	805E
紋	7D0B
吻	543B
穩	7A69
紊	7D0A
問	554F
嗡	55E1
翁	7FC1
瓮	74EE
撾	64BE
蝸	8778
渦	6E26
窩	7AA9
我	6211
斡	65A1
卧	5367
握	63E1
沃	6C83
巫	5DEB
嗚	55DA
鎢	93A2
烏	70CF
污	6C61
誣	8AA3
屋	5C4B
無	7121
蕪	856A
梧	68A7
吾	543E
吴	5434
毋	6BCB
武	6B66
五	4E94
捂	6342
午	5348
舞	821E
伍	4F0D
侮	4FAE
塢	5862
戊	620A
霧	9727
晤	6664
物	7269
勿	52FF
務	52D9
悟	609F
誤	8AA4
昔	6614
熙	7199
析	6790
西	897F
硒	7852
矽	77FD
晰	6670
嘻	563B
吸	5438
錫	932B
犧	72A7
稀	7A00
息	606F
希	5E0C
悉	6089
膝	819D
夕	5915
惜	60DC
熄	7184
烯	70EF
溪	6EAA
汐	6C50
犀	7280
檄	6A84
襲	8972
席	5E2D
習	7FD2
媳	5AB3
喜	559C
銑	9291
洗	6D17
系	7CFB
𨻶	28EF6
戲	6232
細	7D30
瞎	778E
蝦	8766
匣	5323
霞	971E
轄	8F44
暇	6687
峽	5CFD
俠	4FE0
狹	72F9
下	4E0B
厦	53A6
夏	590F
嚇	5687
掀	6380
鍁	9341
先	5148
仙	4ED9
鮮	9BAE
纖	7E96
咸	54B8
賢	8CE2
銜	929C
舷	8237
閑	9591
涎	6D8E
弦	5F26
嫌	5ACC
顯	986F
險	96AA
現	73FE
獻	737B
縣	7E23
腺	817A
餡	9921
羡	7FA1
憲	61B2
陷	9677
限	9650
綫	7DAB
相	76F8
厢	53A2
鑲	9472
香	9999
箱	7BB1
襄	8944
湘	6E58
鄉	9109
翔	7FD4
祥	7965
詳	8A73
想	60F3
響	97FF
享	4EAB
項	9805
巷	5DF7
橡	6A61
像	50CF
向	5411
象	8C61
蕭	856D
硝	785D
霄	9704
削	524A
哮	54EE
囂	56C2
銷	92B7
消	6D88
宵	5BB5
淆	6DC6
曉	66C9
小	5C0F
孝	5B5D
校	6821
肖	8096
嘯	562F
笑	7B11
效	6548
楔	6954
些	4E9B
歇	6B47
蝎	874E
鞋	978B
協	5354
挾	633E
携	643A
邪	90AA
斜	659C
脅	8105
諧	8AE7
寫	5BEB
械	68B0
卸	5378
蟹	87F9
懈	61C8
泄	6CC4
瀉	7009
謝	8B1D
屑	5C51
薪	85AA
芯	82AF
鋅	92C5
欣	6B23
辛	8F9B
新	65B0
忻	5FFB
心	5FC3
信	4FE1
釁	91C1
星	661F
腥	8165
猩	7329
惺	60FA
興	8208
刑	5211
型	578B
形	5F62
邢	90A2
行	884C
醒	9192
幸	5E78
杏	674F
性	6027
姓	59D3
兄	5144
凶	51F6
胸	80F8
匈	5308
汹	6C79
雄	96C4
熊	718A
休	4F11
修	4FEE
羞	7F9E
朽	673D
嗅	55C5
銹	92B9
秀	79C0
袖	8896
綉	7D89
墟	589F
戌	620C
需	9700
虚	865A
嘘	5618
須	9808
徐	5F90
許	8A31
蓄	84C4
酗	9157
叙	53D9
旭	65ED
序	5E8F
畜	755C
恤	6064
絮	7D6E
婿	5A7F
緒	7DD2
續	7E8C
軒	8ED2
喧	55A7
宣	5BA3
懸	61F8
旋	65CB
玄	7384
選	9078
癬	766C
眩	7729
絢	7D62
靴	9774
薛	859B
學	5B78
穴	7A74
雪	96EA
血	8840
勛	52DB
熏	718F
循	5FAA
旬	65EC
詢	8A62
尋	5C0B
馴	99B4
巡	5DE1
殉	6B89
汛	6C5B
訓	8A13
訊	8A0A
遜	905C
迅	8FC5
壓	58D3
押	62BC
鴉	9D09
鴨	9D28
呀	5440
丫	4E2B
芽	82BD
牙	7259
蚜	869C
崖	5D16
衙	8859
涯	6DAF
雅	96C5
啞	555E
亞	4E9E
訝	8A1D
焉	7109
咽	54BD
閹	95B9
烟	70DF
淹	6DF9
鹽	9E7D
嚴	56B4
研	7814
蜒	8712
岩	5CA9
延	5EF6
言	8A00
顔	9854
閻	95BB
炎	708E
沿	6CBF
奄	5944
掩	63A9
眼	773C
衍	884D
演	6F14
艷	8277
堰	5830
燕	71D5
厭	53AD
硯	786F
雁	96C1
唁	5501
彦	5F66
焰	7130
宴	5BB4
諺	8AFA
驗	9A57
殃	6B83
央	592E
鴦	9D26
秧	79E7
楊	694A
揚	63DA
佯	4F6F
瘍	760D
羊	7F8A
洋	6D0B
陽	967D
氧	6C27
仰	4EF0
癢	7662
養	990A
樣	6A23
漾	6F3E
邀	9080
腰	8170
妖	5996
瑶	7476
摇	6447
堯	582F
遥	9065
窑	7A91
謡	8B21
姚	59DA
咬	54AC
舀	8200
藥	85E5
要	8981
耀	8000
椰	6930
噎	564E
耶	8036
爺	723A
野	91CE
冶	51B6
也	4E5F
頁	9801
掖	6396
業	696D
葉	8449
曳	66F3
腋	814B
夜	591C
液	6DB2
一	4E00
壹	58F9
醫	91AB
揖	63D6
銥	92A5
依	4F9D
伊	4F0A
衣	8863
頤	9824
夷	5937
遺	907A
移	79FB
儀	5100
胰	80F0
疑	7591
沂	6C82
宜	5B9C
姨	59E8
彝	5F5D
椅	6905
蟻	87FB
倚	501A
已	5DF2
乙	4E59
矣	77E3
以	4EE5
藝	85DD
抑	6291
易	6613
邑	9091
屹	5C79
億	5104
役	5F79
臆	81C6
逸	9038
肄	8084
疫	75AB
亦	4EA6
裔	88D4
意	610F
毅	6BC5
憶	61B6
義	7FA9
益	76CA
溢	6EA2
詣	8A63
議	8B70
誼	8ABC
譯	8B6F
异	5F02
翼	7FFC
翌	7FCC
繹	7E79
茵	8335
蔭	852D
因	56E0
殷	6BB7
音	97F3
陰	9670
姻	59FB
吟	541F
銀	9280
淫	6DEB
寅	5BC5
飲	98F2
尹	5C39
引	5F15
隱	96B1
印	5370
英	82F1
櫻	6AFB
嬰	5B30
鷹	9DF9
應	61C9
纓	7E93
瑩	7469
螢	87A2
營	71DF
熒	7192
蠅	8805
迎	8FCE
贏	8D0F
盈	76C8
影	5F71
穎	7A4E
硬	786C
映	6620
喲	55B2
擁	64C1
傭	50AD
臃	81C3
癰	7670
庸	5EB8
雍	96CD
踴	8E34
蛹	86F9
咏	548F
泳	6CF3
涌	6D8C
永	6C38
恿	607F
勇	52C7
用	7528
幽	5E7D
優	512A
悠	60A0
憂	6182
尤	5C24
由	7531
郵	90F5
鈾	923E
猶	7336
油	6CB9
游	6E38
酉	9149
有	6709
友	53CB
右	53F3
佑	4F51
釉	91C9
誘	8A98
又	53C8
幼	5E7C
迂	8FC2
淤	6DE4
于	4E8E
盂	76C2
榆	6986
虞	865E
愚	611A
輿	8F3F
餘	9918
俞	4FDE
逾	903E
魚	9B5A
愉	6109
渝	6E1D
漁	6F01
隅	9685
予	4E88
娱	5A31
雨	96E8
與	8207
嶼	5DBC
禹	79B9
宇	5B87
語	8A9E
羽	7FBD
玉	7389
域	57DF
芋	828B
鬱	9B31
吁	5401
遇	9047
喻	55BB
峪	5CEA
御	5FA1
愈	6108
欲	6B32
獄	7344
育	80B2
譽	8B7D
浴	6D74
寓	5BD3
裕	88D5
預	9810
豫	8C6B
馭	99AD
鴛	9D1B
淵	6DF5
冤	51A4
元	5143
垣	57A3
袁	8881
原	539F
援	63F4
轅	8F45
園	5712
員	54E1
圓	5713
猿	733F
源	6E90
緣	7DE3
遠	9060
苑	82D1
願	9858
怨	6028
院	9662
曰	66F0
約	7D04
越	8D8A
躍	8E8D
鑰	9470
岳	5CB3
粤	7CA4
月	6708
悦	60A6
閲	95B2
耘	8018
雲	96F2
鄖	9116
匀	5300
隕	9695
允	5141
運	904B
藴	85F4
醖	9196
暈	6688
韵	97F5
孕	5B55
匝	531D
砸	7838
雜	96DC
栽	683D
哉	54C9
灾	707E
宰	5BB0
載	8F09
再	518D
在	5728
咱	54B1
攢	6522
暫	66AB
贊	8D0A
贜	8D1C
臟	81DF
葬	846C
遭	906D
糟	7CDF
鑿	947F
藻	85FB
棗	68D7
早	65E9
澡	6FA1
蚤	86A4
躁	8E81
噪	566A
造	9020
皂	7682
竈	7AC8
燥	71E5
責	8CAC
擇	64C7
則	5247
澤	6FA4
賊	8CCA
怎	600E
增	589E
憎	618E
曾	66FE
贈	8D08
扎	624E
喳	55B3
渣	6E23
札	672D
軋	8ECB
鍘	9358
閘	9598
眨	7728
栅	6805
榨	69A8
咋	548B
乍	4E4D
炸	70B8
詐	8A50
摘	6458
齋	9F4B
宅	5B85
窄	7A84
債	50B5
寨	5BE8
瞻	77BB
氈	6C08
詹	8A79
粘	7C98
沾	6CBE
盞	76DE
斬	65AC
輾	8F3E
嶄	5D84
展	5C55
蘸	8638
棧	68E7
占	5360
戰	6230
站	7AD9
湛	6E5B
綻	7DBB
樟	6A1F
章	7AE0
彰	5F70
漳	6F33
張	5F35
掌	638C
漲	6F32
杖	6756
丈	4E08
帳	5E33
賬	8CEC
仗	4ED7
脹	8139
瘴	7634
障	969C
招	62DB
昭	662D
找	627E
沼	6CBC
趙	8D99
照	7167
罩	7F69
兆	5146
肇	8087
召	53EC
遮	906E
折	6298
哲	54F2
蟄	87C4
轍	8F4D
者	8005
鍺	937A
蔗	8517
這	9019
浙	6D59
珍	73CD
斟	659F
真	771F
甄	7504
砧	7827
臻	81FB
貞	8C9E
針	91DD
偵	5075
枕	6795
疹	75B9
診	8A3A
震	9707
振	632F
鎮	93AE
陣	9663
蒸	84B8
挣	6323
睁	7741
徵	5FB5
狰	72F0
争	4E89
怔	6014
整	6574
拯	62EF
正	6B63
政	653F
幀	5E40
癥	7665
鄭	912D
證	8B49
芝	829D
枝	679D
支	652F
吱	5431
蜘	8718
知	77E5
肢	80A2
脂	8102
汁	6C41
之	4E4B
織	7E54
職	8077
直	76F4
植	690D
殖	6B96
執	57F7
值	503C
侄	4F84
址	5740
指	6307
止	6B62
趾	8DBE
衹	8879
旨	65E8
紙	7D19
志	5FD7
摯	646F
擲	64F2
至	81F3
致	81F4
置	7F6E
幟	5E5F
峙	5CD9
制	5236
智	667A
秩	79E9
稚	7A1A
質	8CEA
炙	7099
痔	75D4
滯	6EEF
治	6CBB
窒	7A92
中	4E2D
盅	76C5
忠	5FE0
鐘	9418
衷	8877
終	7D42
種	7A2E
腫	816B
重	91CD
仲	4EF2
衆	8846
舟	821F
周	5468
州	5DDE
洲	6D32
謅	8B05
粥	7CA5
軸	8EF8
肘	8098
帚	5E1A
咒	5492
皺	76BA
宙	5B99
晝	665D
驟	9A5F
珠	73E0
株	682A
蛛	86DB
朱	6731
猪	732A
諸	8AF8
誅	8A85
逐	9010
竹	7AF9
燭	71ED
煮	716E
拄	62C4
矚	77DA
囑	56D1
主	4E3B
著	8457
柱	67F1
助	52A9
蛀	86C0
貯	8CAF
鑄	9444
築	7BC9
住	4F4F
注	6CE8
祝	795D
駐	99D0
抓	6293
爪	722A
拽	62FD
專	5C08
磚	78DA
轉	8F49
撰	64B0
賺	8CFA
篆	7BC6
樁	6A01
莊	838A
裝	88DD
妝	599D
撞	649E
壯	58EF
狀	72C0
椎	690E
錐	9310
追	8FFD
贅	8D05
墜	589C
綴	7DB4
諄	8AC4
準	6E96
捉	6349
拙	62D9
卓	5353
桌	684C
琢	7422
茁	8301
酌	914C
啄	5544
着	7740
灼	707C
濁	6FC1
兹	5179
咨	54A8
資	8CC7
姿	59FF
滋	6ECB
淄	6DC4
孜	5B5C
紫	7D2B
仔	4ED4
籽	7C7D
滓	6ED3
子	5B50
自	81EA
漬	6F2C
字	5B57
鬃	9B03
棕	68D5
踪	8E2A
宗	5B97
綜	7D9C
總	7E3D
縱	7E31
鄒	9112
走	8D70
奏	594F
揍	63CD
租	79DF
足	8DB3
卒	5352
族	65CF
祖	7956
詛	8A5B
阻	963B
組	7D44
鑽	947D
纂	7E82
嘴	5634
醉	9189
最	6700
罪	7F6A
尊	5C0A
遵	9075
昨	6628
左	5DE6
佐	4F50
柞	67DE
做	505A
作	4F5C
坐	5750
座	5EA7
亍	4E8D
丌	4E0C
兀	5140
丐	4E10
廿	5EFF
卅	5345
丕	4E15
亘	4E98
丞	4E1E
鬲	9B32
孬	5B6C
噩	5669
丨	4E28
禺	79BA
丿	4E3F
匕	5315
乇	4E47
夭	592D
爻	723B
卮	536E
氐	6C10
囟	56DF
胤	80E4
馗	9997
毓	6BD3
睾	777E
鼗	9F17
丶	4E36
亟	4E9F
鼐	9F10
乜	4E5C
乩	4E69
亓	4E93
芈	8288
孛	5B5B
嗇	55C7
嘏	560F
仄	4EC4
厙	5399
厝	539D
厴	53B4
厥	53A5
厮	53AE
靨	9768
贋	8D0B
匚	531A
叵	53F5
匭	532D
匱	5331
匾	533E
賾	8CFE
卦	5366
卣	5363
刂	5202
刈	5208
刎	520E
剄	5244
刳	5233
劌	528C
剴	5274
剌	524C
剞	525E
剡	5261
剜	525C
蒯	84AF
剽	527D
劂	5282
劁	5281
劐	5290
劓	5293
冂	5182
罔	7F54
亻	4EBB
仃	4EC3
仉	4EC9
仂	4EC2
仨	4EE8
仡	4EE1
仫	4EEB
仞	4EDE
傴	50B4
仳	4EF3
伢	4F22
佤	4F64
仵	4EF5
倀	5000
傖	5096
伉	4F09
伫	4F2B
佞	4F5E
佧	4F67
攸	6538
佚	4F5A
佝	4F5D
佟	4F5F
佗	4F57
伲	4F32
伽	4F3D
佶	4F76
佴	4F74
侑	4F91
侉	4F89
侃	4F83
侏	4F8F
佾	4F7E
佻	4F7B
儕	5115
佼	4F7C
儂	5102
侔	4F94
儔	5114
儼	513C
儷	5137
俅	4FC5
俚	4FDA
俣	4FE3
俜	4FDC
俑	4FD1
俟	4FDF
俸	4FF8
倩	5029
偌	504C
俳	4FF3
倬	502C
倏	500F
倮	502E
倭	502D
俾	4FFE
倜	501C
倌	500C
倥	5025
倨	5028
僨	50E8
偃	5043
偕	5055
偈	5048
偎	504E
偬	506C
僂	50C2
儻	513B
儐	5110
儺	513A
傺	50BA
僖	50D6
儆	5106
僭	50ED
僬	50EC
僦	50E6
僮	50EE
儇	5107
儋	510B
仝	4EDD
氽	6C3D
佘	4F58
僉	50C9
俎	4FCE
龠	9FA0
汆	6C46
糴	7CF4
兮	516E
巽	5DFD
黌	9ECC
馘	9998
囅	56C5
夔	5914
勹	52F9
匍	530D
訇	8A07
匐	5310
鳧	9CE7
夙	5919
兕	5155
亠	4EA0
兖	5156
亳	4EB3
衮	886E
袤	88A4
褻	893B
臠	81E0
裒	88D2
禀	7980
嬴	5B34
蠃	8803
羸	7FB8
冫	51AB
冱	51B1
冽	51BD
冼	51BC
凇	51C7
冖	5196
冢	51A2
冥	51A5
訁	8A01
訐	8A10
訌	8A0C
訕	8A15
謳	8B33
詎	8A4E
訥	8A25
詁	8A41
訶	8A36
詆	8A46
詔	8A54
詘	8A58
詒	8A52
誆	8A86
誄	8A84
詿	8A7F
詰	8A70
詼	8A7C
詵	8A75
詬	8A6C
詮	8A6E
諍	8ACD
諢	8AE2
詡	8A61
誚	8A9A
誥	8AA5
誑	8A91
誒	8A92
諏	8ACF
諑	8AD1
諉	8AC9
諛	8ADB
諗	8AD7
諂	8AC2
誶	8AB6
諶	8AF6
諫	8AEB
謔	8B14
謁	8B01
諤	8AE4
諭	8AED
諼	8AFC
諳	8AF3
諦	8AE6
諮	8AEE
諞	8ADE
謨	8B28
讜	8B9C
謖	8B16
謚	8B1A
謐	8B10
謫	8B2B
謭	8B2D
譖	8B56
譙	8B59
譎	8B4E
讞	8B9E
譫	8B6B
讖	8B96
卩	5369
卺	537A
阝	961D
阢	9622
阡	9621
阱	9631
阪	962A
阽	963D
阼	963C
陂	9642
陘	9658
陔	9654
陟	965F
陧	9667
陬	966C
陲	9672
陴	9674
隈	9688
隍	968D
隗	9697
隰	96B0
邗	9097
邛	909B
鄺	913A
邙	9099
鄔	9114
邡	90A1
邴	90B4
邳	90B3
邶	90B6
鄴	9134
邸	90B8
邰	90B0
郟	90DF
郅	90C5
邾	90BE
鄶	9136
郄	90C4
郇	90C7
鄆	9106
酈	9148
郢	90E2
郜	90DC
郗	90D7
郛	90DB
郫	90EB
郯	90EF
郾	90FE
鄄	9104
鄢	9122
鄞	911E
鄣	9123
鄱	9131
鄯	912F
鄹	9139
酃	9143
酆	9146
芻	82BB
奂	5942
勱	52F1
劬	52AC
劭	52AD
劾	52BE
哿	54FF
勐	52D0
勖	52D6
勰	52F0
叟	53DF
燮	71EE
矍	77CD
廴	5EF4
凵	51F5
凼	51FC
鬯	9B2F
厶	53B6
弁	5F01
畚	755A
巰	5DF0
坌	574C
堊	580A
垡	57A1
塾	587E
墼	58BC
壅	58C5
壑	58D1
圩	5729
圬	572C
圪	572A
圳	5733
壙	58D9
圮	572E
圯	572F
壢	58E2
圻	573B
坂	5742
坩	5769
壠	58E0
坫	576B
壚	58DA
坼	577C
坻	577B
坨	5768
坭	576D
坶	5776
坳	5773
埡	57E1
垤	57A4
垌	578C
塏	584F
埏	57CF
垧	57A7
堖	5816
垓	5793
垠	57A0
埕	57D5
塒	5852
堝	581D
塤	5864
埒	57D2
垸	57B8
埴	57F4
埯	57EF
埸	57F8
埤	57E4
埝	57DD
堋	580B
堍	580D
埽	57FD
埭	57ED
堀	5800
堞	581E
堙	5819
塄	5844
堠	5820
塥	5865
塬	586C
墁	5881
墉	5889
墚	589A
墀	5880
馨	99A8
鼙	9F19
懿	61FF
艹	8279
艽	827D
艿	827F
芏	828F
芊	828A
芨	82A8
芄	8284
芎	828E
芑	8291
薌	858C
芙	8299
芫	82AB
蕓	8553
芾	82BE
芰	82B0
藶	85F6
苊	82CA
苣	82E3
芘	8298
